Metric,Node,Group,Average,Median,Std,IQR
Total NaNs,backleg_l,274,26878.5,26437.0,5690.15,5101.25
Total NaNs,backleg_l,400,15817.75,15522.5,4808.47,4704.75
Total NaNs,backleg_l,402,36910.8,34319.5,11743.41,13369.25
Total NaNs,backleg_m,199,3035.79,2016.5,2657.68,1987.75
Total NaNs,backleg_m,274,27695.67,25105.0,8486.29,7531.0
Total NaNs,backleg_m,400,62389.75,62771.5,16254.97,13517.5
Total NaNs,backleg_m,402,54569.4,53188.5,6022.48,8572.75
Total NaNs,backleg_r,199,9257.57,8042.5,4877.8,3307.0
Total NaNs,backleg_r,274,7748.17,6927.5,3570.5,1113.25
Total NaNs,backleg_r,400,15759.38,16361.0,5809.58,6660.0
Total NaNs,backleg_r,402,32795.4,31795.0,5185.02,7841.0
Total NaNs,body_l,199,6302.57,5143.0,3548.24,3369.5
Total NaNs,body_l,274,39581.0,38464.0,7900.98,10982.25
Total NaNs,body_l,400,36459.25,35978.0,8986.36,14758.25
Total NaNs,body_l,402,45341.4,44986.0,3946.98,2372.25
Total NaNs,body_m,199,1467.36,1108.0,1316.77,473.0
Total NaNs,body_m,274,25875.17,25546.0,10614.53,8172.25
Total NaNs,body_m,400,30380.75,32332.5,8563.85,12992.75
Total NaNs,body_m,402,75046.7,75091.5,7338.64,11043.75
Total NaNs,body_r,199,4196.14,4000.0,2309.44,2046.0
Total NaNs,body_r,274,8528.33,6559.5,4542.76,2941.0
Total NaNs,body_r,400,24316.12,22083.5,7490.18,12473.25
Total NaNs,body_r,402,57257.5,58336.0,6018.43,7618.75
Total NaNs,cheek_l,199,31675.79,29434.0,15203.29,9228.75
Total NaNs,cheek_l,274,28924.33,25730.5,8484.97,11933.25
Total NaNs,cheek_l,400,25565.5,27496.0,8547.0,12128.75
Total NaNs,cheek_l,402,25990.1,27116.0,3239.92,5057.25
Total NaNs,cheek_r,199,24811.93,24939.0,10247.19,9402.0
Total NaNs,cheek_r,274,10379.67,8582.5,4398.78,2313.0
Total NaNs,cheek_r,400,22432.25,21781.0,4154.94,2154.75
Total NaNs,cheek_r,402,10254.4,10290.0,2030.54,2456.25
Total NaNs,ear_l,199,12431.29,11480.0,6602.42,5754.5
Total NaNs,ear_l,274,5990.0,5576.0,1615.3,1026.25
Total NaNs,ear_l,400,13045.12,12205.0,4981.56,4828.0
Total NaNs,ear_l,402,7552.0,7021.0,1462.21,1353.75
Total NaNs,ear_r,199,2305.86,2124.0,1845.18,1878.0
Total NaNs,ear_r,274,4494.83,3711.0,1924.34,2330.0
Total NaNs,ear_r,400,5562.25,5358.5,1004.07,1141.75
Total NaNs,ear_r,402,3571.1,3390.5,1157.9,1193.0
Total NaNs,implant,199,3087.93,3161.0,2121.24,1995.5
Total NaNs,implant,274,5846.5,4952.0,3760.02,4538.25
Total NaNs,implant,400,4541.62,4455.5,1468.67,1964.5
Total NaNs,implant,402,5669.0,5571.5,1612.23,2256.75
Total NaNs,neck,199,7036.79,5291.5,5738.2,6297.5
Total NaNs,neck,274,9268.67,8849.5,2360.66,3035.0
Total NaNs,neck,400,16701.25,16650.5,5984.89,10582.0
Total NaNs,neck,402,35726.9,37665.5,9646.48,11947.0
Total NaNs,neck_l,199,5149.5,4968.0,2132.14,3554.5
Total NaNs,neck_l,274,15701.17,14782.5,5082.93,5267.75
Total NaNs,neck_l,400,48345.5,49203.0,8072.01,9410.75
Total NaNs,neck_l,402,27796.1,26590.5,4805.29,6248.5
Total NaNs,neck_r,199,5274.86,4793.5,2673.61,2341.25
Total NaNs,neck_r,274,13177.5,13698.5,13264.38,11339.75
Total NaNs,neck_r,400,36895.12,41011.5,17482.71,16832.5
Total NaNs,neck_r,402,54426.2,54526.5,6922.41,6731.25
Total NaNs,nose,199,19726.07,17164.5,11680.68,7610.25
Total NaNs,nose,274,13289.67,11706.5,4649.73,4017.25
Total NaNs,nose,400,15554.75,17262.0,5572.73,7835.75
Total NaNs,nose,402,8221.2,8343.0,1456.98,2140.25
Total NaNs,rear_m,199,4934.43,4116.0,2852.39,1829.0
Total NaNs,rear_m,274,17130.67,16875.0,4716.4,7265.25
Total NaNs,rear_m,400,25305.12,21911.0,12341.28,19334.25
Total NaNs,rear_m,402,31575.4,31642.0,5009.45,3661.25
Total NaNs,tail_base,199,5287.5,4377.5,3191.39,1527.5
Total NaNs,tail_base,274,8597.17,8315.5,1729.11,2309.25
Total NaNs,tail_base,400,14129.88,14054.5,7273.26,8335.75
Total NaNs,tail_base,402,13197.7,14002.0,2261.41,3495.75
Total NaNs,tail_end,199,6279.71,5617.0,3350.77,4726.25
Total NaNs,tail_end,274,12064.67,11646.5,3780.64,6220.0
Total NaNs,tail_end,400,18247.62,18756.5,4510.78,7273.75
Total NaNs,tail_end,402,5588.9,5780.0,1273.96,1871.5
Total NaNs,tail_mid,199,10366.79,9649.5,4796.72,2178.5
Total NaNs,tail_mid,274,5345.33,5155.0,1364.35,836.0
Total NaNs,tail_mid,400,6615.0,6666.5,1458.51,655.25
Total NaNs,tail_mid,402,15515.8,15047.5,1827.12,2730.5
Velocity,backleg_l,199,6.36,3.67,24.19,5.32
Velocity,backleg_l,274,8.49,3.75,30.87,5.43
Velocity,backleg_l,400,7.76,0.15,34.45,4.0
Velocity,backleg_l,402,7.95,3.67,26.68,5.46
Velocity,backleg_m,199,3.89,0.37,11.4,3.97
Velocity,backleg_m,274,7.88,3.65,26.11,5.22
Velocity,backleg_m,400,8.74,3.63,23.86,5.48
Velocity,backleg_m,402,10.81,3.87,26.12,7.74
Velocity,backleg_r,199,4.15,0.09,18.96,3.86
Velocity,backleg_r,274,6.64,3.7,23.39,5.34
Velocity,backleg_r,400,7.2,3.66,25.0,5.38
Velocity,backleg_r,402,8.5,3.75,29.03,5.5
Velocity,body_l,199,7.24,3.71,26.58,5.38
Velocity,body_l,274,10.95,3.71,42.89,5.37
Velocity,body_l,400,11.63,0.2,47.3,4.02
Velocity,body_l,402,12.04,3.6,43.23,5.38
Velocity,body_m,199,3.84,3.74,8.8,4.05
Velocity,body_m,274,9.48,3.92,22.11,7.86
Velocity,body_m,400,7.41,3.8,18.47,5.59
Velocity,body_m,402,9.32,3.92,22.24,8.44
Velocity,body_r,199,5.22,0.11,25.11,3.88
Velocity,body_r,274,8.36,3.72,31.79,5.31
Velocity,body_r,400,11.56,3.72,39.55,5.5
Velocity,body_r,402,11.64,3.7,39.86,5.46
Velocity,cheek_l,199,5.03,0.18,19.51,3.94
Velocity,cheek_l,274,13.23,3.86,50.85,5.57
Velocity,cheek_l,400,12.87,3.71,45.35,5.52
Velocity,cheek_l,402,14.91,3.82,51.7,7.66
Velocity,cheek_r,199,4.47,0.19,15.88,3.95
Velocity,cheek_r,274,11.3,3.83,38.13,5.53
